iter	Passed	Remaining
0	185	185597
1	205	102338
2	221	73668
3	235	58628
4	247	49322
5	259	42947
6	272	38640
7	284	35302
8	296	32644
9	307	30408
10	320	28821
11	333	27451
12	347	26355
13	358	25275
14	368	24226
15	380	23380
16	391	22640
17	403	21989
18	414	21413
19	425	20840
20	434	20253
21	444	19779
22	454	19300
23	464	18906
24	475	18531
25	484	18137
26	494	17823
27	504	17524
28	516	17284
29	528	17091
30	540	16889
31	551	16684
32	563	16505
33	574	16328
34	584	16114
35	595	15934
36	606	15786
37	616	15599
38	627	15451
39	638	15327
40	649	15198
41	659	15053
42	671	14936
43	681	14806
44	690	14659
45	702	14579
46	724	14689
47	748	14847
48	762	14794
49	774	14720
50	789	14686
51	805	14682
52	818	14632
53	831	14564
54	840	14449
55	855	14416
56	869	14386
57	884	14361
58	899	14352
59	914	14331
60	925	14253
61	937	14181
62	950	14142
63	964	14110
64	978	14068
65	987	13980
66	1000	13938
67	1013	13893
68	1026	13853
69	1041	13843
70	1053	13782
71	1068	13769
72	1083	13753
73	1097	13738
74	1111	13713
75	1127	13707
76	1142	13695
77	1158	13694
78	1174	13691
79	1191	13701
80	1205	13671
81	1217	13633
82	1232	13619
83	1247	13606
84	1262	13587
85	1275	13560
86	1289	13536
87	1304	13523
88	1320	13519
89	1333	13478
90	1346	13454
91	1361	13438
92	1375	13419
93	1390	13400
94	1403	13373
95	1415	13326
96	1429	13303
97	1444	13292
98	1459	13280
99	1473	13260
100	1486	13234
101	1500	13212
102	1513	13180
103	1527	13156
104	1542	13144
105	1556	13130
106	1573	13133
107	1589	13125
108	1606	13131
109	1620	13114
110	1635	13097
111	1649	13081
112	1661	13039
113	1675	13018
114	1689	13000
115	1703	12980
116	1717	12964
117	1732	12946
118	1742	12897
119	1755	12871
120	1768	12845
121	1781	12818
122	1790	12766
123	1804	12746
124	1817	12723
125	1829	12690
126	1839	12642
127	1851	12616
128	1865	12596
129	1874	12544
130	1887	12519
131	1900	12500
132	1913	12471
133	1922	12427
134	1935	12400
135	1948	12376
136	1960	12349
137	1969	12305
138	1982	12282
139	1994	12253
140	2004	12210
141	2017	12191
142	2030	12167
143	2038	12119
144	2051	12095
145	2063	12071
146	2076	12047
